pressure,dewpoint,humidity,cloud,sunshine,windspeed,rainfall
1013.2,8.9,55.0,35.9,7.7,11.0,0
1019.0,15.9,84.8,80.4,1.3,22.8,1
1016.1,10.7,60.1,44.4,6.2,10.8,0
1017.7,14.2,72.0,65.9,3.1,16.1,1
1015.1,11.9,53.8,31.5,8.0,8.0,0
1017.3,16.4,79.0,77.1,2.0,18.0,1
1014.0,9.3,58.0,40.6,6.7,12.8,0
1018.5,12.8,64.0,55.2,4.5,14.5,0
1015.8,11.4,80.9,81.2,1.6,20.1,1
1017.4,15.3,71.0,64.3,3.2,17.9,1
